alert_id,timestamp,location,duration_min,confidence,estimated_gallons,status,model_reason,human_verified
WTR-017,2026-03-02T10:00:00,Main Supply Closet,11,0.845,2.2,false_alarm,short fixture-use pattern,0
WTR-018,2026-03-09T16:00:00,Gym Locker Room Shower,18,0.613,2.8,false_alarm,short fixture-use pattern,0
WTR-019,2026-05-10T09:00:00,B-Wing Bathroom Sink 2,63,0.814,87.4,needs_verification,continuous audio/vibration pattern,0
WTR-020,2026-05-25T17:00:00,Main Supply Closet,16,0.779,2.1,false_alarm,short fixture-use pattern,0
WTR-021,2026-03-08T16:00:00,Gym Locker Room Shower,16,0.654,2.6,resolved,short fixture-use pattern,0
WTR-022,2026-05-15T11:00:00,Main Supply Closet,60,0.729,34.5,open,continuous audio/vibration pattern,0
WTR-023,2026-03-15T09:00:00,Main Supply Closet,33,0.949,28.4,resolved,continuous audio/vibration pattern,1
WTR-024,2026-05-14T14:00:00,Gym Locker Room Shower,9,0.756,0.8,resolved,short fixture-use pattern,0
WTR-025,2026-03-01T08:00:00,Gym Locker Room Shower,13,0.823,2.2,resolved,short fixture-use pattern,0
WTR-026,2026-05-28T18:00:00,Main Supply Closet,30,0.856,38.8,resolved,continuous audio/vibration pattern,1
WTR-027,2026-03-16T15:00:00,B-Wing Bathroom Toilet 3,16,0.563,1.8,resolved,short fixture-use pattern,0
WTR-028,2026-03-01T09:00:00,B-Wing Bathroom Sink 2,15,0.693,2.6,resolved,short fixture-use pattern,0
WTR-029,2026-03-14T20:00:00,B-Wing Bathroom Toilet 3,38,0.81,66.1,needs_verification,continuous audio/vibration pattern,0
WTR-030,2026-03-07T22:00:00,Cafeteria Handwash Sink,39,0.655,6.1,false_alarm,short fixture-use pattern,0
WTR-031,2026-05-19T22:00:00,Main Supply Closet,35,0.611,3.9,false_alarm,short fixture-use pattern,0
WTR-032,2026-04-08T08:00:00,Cafeteria Handwash Sink,59,0.899,73.0,resolved,continuous audio/vibration pattern,1
WTR-033,2026-03-24T09:00:00,Cafeteria Handwash Sink,9,0.638,1.3,resolved,short fixture-use pattern,0
WTR-034,2026-05-25T16:00:00,Cafeteria Handwash Sink,41,0.793,75.0,resolved,continuous audio/vibration pattern,1
WTR-035,2026-04-09T14:00:00,B-Wing Bathroom Sink 2,47,0.98,64.7,resolved,continuous audio/vibration pattern,1
WTR-036,2026-04-10T12:00:00,Main Supply Closet,78,0.888,116.5,open,continuous audio/vibration pattern,0
WTR-037,2026-05-23T06:00:00,B-Wing Bathroom Sink 2,26,0.859,15.4,open,continuous audio/vibration pattern,0
WTR-038,2026-05-06T16:00:00,Gym Locker Room Shower,37,0.649,3.1,resolved,short fixture-use pattern,0
WTR-039,2026-04-21T11:00:00,Main Supply Closet,128,0.517,12.0,resolved,short fixture-use pattern,0
WTR-040,2026-04-02T06:00:00,Science Lab Sink 4,24,0.77,15.2,resolved,continuous audio/vibration pattern,1
WTR-041,2026-06-03T14:00:00,Cafeteria Handwash Sink,23,0.902,16.2,needs_verification,continuous audio/vibration pattern,0
WTR-042,2026-05-01T08:00:00,B-Wing Bathroom Toilet 3,88,0.777,70.6,resolved,continuous audio/vibration pattern,1
WTR-043,2026-03-02T10:00:00,Gym Locker Room Shower,18,0.788,1.6,false_alarm,short fixture-use pattern,0
WTR-044,2026-03-21T13:00:00,B-Wing Bathroom Sink 2,133,0.98,141.6,resolved,continuous audio/vibration pattern,1
WTR-045,2026-04-27T21:00:00,B-Wing Bathroom Toilet 3,4,0.784,0.2,false_alarm,short fixture-use pattern,0
WTR-046,2026-05-19T12:00:00,Cafeteria Handwash Sink,23,0.543,3.4,false_alarm,short fixture-use pattern,0
WTR-047,2026-05-30T18:00:00,Main Supply Closet,47,0.873,41.8,needs_verification,continuous audio/vibration pattern,0
WTR-048,2026-05-29T21:00:00,B-Wing Bathroom Sink 2,26,0.719,44.2,needs_verification,continuous audio/vibration pattern,0
WTR-049,2026-03-06T20:00:00,Gym Locker Room Shower,98,0.813,92.1,resolved,continuous audio/vibration pattern,1
WTR-050,2026-05-28T07:00:00,B-Wing Bathroom Toilet 3,43,0.975,34.4,open,continuous audio/vibration pattern,0
WTR-051,2026-05-29T07:00:00,B-Wing Bathroom Sink 2,8,0.697,1.4,false_alarm,short fixture-use pattern,0
WTR-052,2026-05-28T21:00:00,Cafeteria Handwash Sink,28,0.98,24.1,open,continuous audio/vibration pattern,0
WTR-053,2026-03-18T17:00:00,Gym Locker Room Shower,4,0.627,0.3,false_alarm,short fixture-use pattern,0
WTR-054,2026-04-07T08:00:00,Science Lab Sink 4,4,0.591,0.6,false_alarm,short fixture-use pattern,0
WTR-055,2026-05-08T12:00:00,Cafeteria Handwash Sink,23,0.777,16.3,resolved,continuous audio/vibration pattern,1
WTR-056,2026-06-05T13:00:00,Science Lab Sink 4,35,0.98,43.7,resolved,continuous audio/vibration pattern,1
WTR-057,2026-03-24T13:00:00,B-Wing Bathroom Toilet 3,14,0.82,2.4,resolved,short fixture-use pattern,0
WTR-058,2026-05-05T12:00:00,Science Lab Sink 4,28,0.768,38.9,needs_verification,continuous audio/vibration pattern,0
WTR-059,2026-05-20T11:00:00,Cafeteria Handwash Sink,36,0.846,44.9,needs_verification,continuous audio/vibration pattern,0
WTR-060,2026-05-06T06:00:00,Science Lab Sink 4,20,0.98,34.7,needs_verification,continuous audio/vibration pattern,0
WTR-061,2026-03-06T14:00:00,B-Wing Bathroom Toilet 3,30,0.836,41.8,open,continuous audio/vibration pattern,0
WTR-062,2026-04-15T20:00:00,Main Supply Closet,23,0.787,18.1,resolved,continuous audio/vibration pattern,1
WTR-063,2026-05-18T17:00:00,B-Wing Bathroom Sink 2,21,0.87,16.6,resolved,continuous audio/vibration pattern,1
WTR-064,2026-06-01T19:00:00,B-Wing Bathroom Toilet 3,62,0.949,79.9,resolved,continuous audio/vibration pattern,1
WTR-065,2026-05-26T08:00:00,B-Wing Bathroom Toilet 3,57,0.842,41.5,resolved,continuous audio/vibration pattern,1
WTR-066,2026-04-09T20:00:00,Cafeteria Handwash Sink,49,0.668,5.0,resolved,short fixture-use pattern,0
WTR-067,2026-05-23T06:00:00,B-Wing Bathroom Sink 2,33,0.775,37.8,needs_verification,continuous audio/vibration pattern,0
WTR-068,2026-06-01T15:00:00,Main Supply Closet,19,0.911,16.3,resolved,continuous audio/vibration pattern,1
WTR-069,2026-05-18T18:00:00,Cafeteria Handwash Sink,28,0.903,44.4,open,continuous audio/vibration pattern,0
WTR-070,2026-04-18T22:00:00,Cafeteria Handwash Sink,24,0.794,35.3,needs_verification,continuous audio/vibration pattern,0
