log_id,timestamp,source,event_id,item,category,confidence,weight_lbs,contamination_flag
WST-0021,2026-04-17T03:09:00,Cafeteria Bin 1,EVT-008,paper tray,compost,0.796,0.2,0
WST-0022,2026-03-20T10:23:00,Cafeteria Bin 1,EVT-026,milk carton,recycling,0.99,0.61,1
WST-0023,2026-03-04T18:34:00,Cafeteria Bin 1,EVT-006,unopened granola bar,unopened_food,0.99,0.2,0
WST-0024,2026-04-03T14:25:00,Cafeteria Bin 1,EVT-011,apple cores,compost,0.762,0.92,0
WST-0025,2026-04-27T21:53:00,Cafeteria Bin 2,EVT-031,water bottle,recycling,0.646,0.24,0
WST-0026,2026-05-17T19:35:00,Compost AI Demo Bin,,pizza crust,compost,0.945,0.05,0
WST-0027,2026-05-25T04:22:00,Cafeteria Bin 1,EVT-016,plastic wrapper,landfill,0.835,1.62,0
WST-0028,2026-05-22T10:37:00,Compost AI Demo Bin,EVT-016,plastic wrapper,landfill,0.871,0.92,0
WST-0029,2026-06-01T06:59:00,Event Cleanup,EVT-012,plastic wrapper,landfill,0.569,1.58,0
WST-0030,2026-04-22T12:19:00,Cafeteria Bin 1,EVT-008,milk carton,recycling,0.768,0.33,0
WST-0031,2026-04-20T00:03:00,Cafeteria Bin 1,,apple cores,compost,0.506,1.18,0
WST-0032,2026-03-15T06:48:00,Cafeteria Bin 1,EVT-025,unopened granola bar,unopened_food,0.824,0.55,0
WST-0033,2026-06-04T15:32:00,Event Cleanup,EVT-028,salad leftovers,compost,0.525,0.24,0
WST-0034,2026-06-06T05:00:00,Cafeteria Bin 2,EVT-019,apple cores,compost,0.822,0.56,0
WST-0035,2026-05-16T12:11:00,Compost AI Demo Bin,EVT-026,plastic wrapper,landfill,0.781,0.45,0
WST-0036,2026-03-17T22:25:00,Cafeteria Bin 1,EVT-033,foil pouch,landfill,0.73,0.06,0
WST-0037,2026-03-10T17:50:00,Compost AI Demo Bin,EVT-026,paper tray,compost,0.799,0.66,0
WST-0038,2026-04-28T16:45:00,Compost AI Demo Bin,EVT-033,water bottle,recycling,0.95,1.33,0
WST-0039,2026-04-17T02:10:00,Cafeteria Bin 2,EVT-001,foil pouch,landfill,0.833,0.2,0
WST-0040,2026-04-29T22:24:00,Cafeteria Bin 1,EVT-028,foil pouch,landfill,0.798,1.34,0
WST-0041,2026-05-17T18:19:00,Cafeteria Bin 1,EVT-007,plastic wrapper,landfill,0.99,1.51,0
WST-0042,2026-05-18T15:34:00,Cafeteria Bin 2,EVT-008,plastic wrapper,landfill,0.617,0.34,0
WST-0043,2026-05-04T16:15:00,Cafeteria Bin 2,EVT-008,unopened granola bar,unopened_food,0.883,1.2,0
WST-0044,2026-04-16T03:59:00,Event Cleanup,EVT-022,unopened granola bar,unopened_food,0.711,0.31,0
WST-0045,2026-04-22T17:24:00,Cafeteria Bin 1,EVT-015,salad leftovers,compost,0.949,0.05,0
WST-0046,2026-06-01T07:37:00,Event Cleanup,EVT-035,foil pouch,landfill,0.922,0.38,0
WST-0047,2026-05-27T01:02:00,Compost AI Demo Bin,EVT-014,water bottle,recycling,0.99,0.46,0
WST-0048,2026-06-02T23:07:00,Cafeteria Bin 1,EVT-025,paper tray,compost,0.937,0.57,0
WST-0049,2026-05-02T10:53:00,Event Cleanup,EVT-036,pizza crust,compost,0.507,0.41,0
WST-0050,2026-05-12T03:37:00,Event Cleanup,EVT-025,plastic wrapper,landfill,0.779,0.6,0
WST-0051,2026-03-05T12:20:00,Event Cleanup,EVT-012,paper tray,compost,0.571,0.74,0
WST-0052,2026-06-07T08:02:00,Cafeteria Bin 2,EVT-006,plastic wrapper,landfill,0.604,0.65,0
WST-0053,2026-04-10T08:35:00,Cafeteria Bin 1,EVT-011,pizza crust,compost,0.77,0.91,0
WST-0054,2026-05-06T10:43:00,Compost AI Demo Bin,EVT-006,plastic wrapper,landfill,0.709,0.27,0
WST-0055,2026-03-07T15:58:00,Cafeteria Bin 1,EVT-024,apple cores,compost,0.695,0.19,0
WST-0056,2026-04-28T19:04:00,Event Cleanup,EVT-031,plastic wrapper,landfill,0.551,0.36,0
WST-0057,2026-04-14T12:15:00,Event Cleanup,EVT-022,apple cores,compost,0.99,0.44,0
WST-0058,2026-05-26T10:54:00,Event Cleanup,EVT-012,plastic wrapper,landfill,0.862,1.08,0
WST-0059,2026-05-06T20:15:00,Compost AI Demo Bin,EVT-006,apple cores,compost,0.762,0.35,0
WST-0060,2026-05-29T17:10:00,Cafeteria Bin 2,EVT-015,foil pouch,landfill,0.662,0.69,0
WST-0061,2026-03-14T01:04:00,Cafeteria Bin 1,EVT-006,milk carton,recycling,0.736,0.05,0
WST-0062,2026-03-02T09:27:00,Cafeteria Bin 1,EVT-036,milk carton,recycling,0.68,0.69,0
WST-0063,2026-05-03T02:19:00,Cafeteria Bin 1,EVT-031,unopened granola bar,unopened_food,0.83,0.16,0
WST-0064,2026-04-21T03:36:00,Compost AI Demo Bin,EVT-024,unopened granola bar,unopened_food,0.793,0.06,0
WST-0065,2026-05-08T23:38:00,Cafeteria Bin 1,EVT-016,foil pouch,landfill,0.813,0.36,0
WST-0066,2026-03-03T23:41:00,Event Cleanup,EVT-007,pizza crust,compost,0.772,0.23,0
WST-0067,2026-03-11T17:48:00,Compost AI Demo Bin,EVT-016,paper tray,compost,0.607,0.52,0
WST-0068,2026-03-20T14:47:00,Cafeteria Bin 2,EVT-012,unopened granola bar,unopened_food,0.926,0.43,0
WST-0069,2026-05-03T02:01:00,Event Cleanup,EVT-014,unopened granola bar,unopened_food,0.99,2.13,0
WST-0070,2026-03-11T03:55:00,Cafeteria Bin 1,EVT-035,water bottle,recycling,0.942,0.14,0
WST-0071,2026-03-02T07:52:00,Cafeteria Bin 2,EVT-031,water bottle,recycling,0.75,1.22,0
WST-0072,2026-03-07T23:39:00,Event Cleanup,EVT-019,salad leftovers,compost,0.57,0.09,0
WST-0073,2026-03-29T00:59:00,Compost AI Demo Bin,EVT-025,unopened granola bar,unopened_food,0.87,0.28,0
WST-0074,2026-04-18T22:30:00,Compost AI Demo Bin,EVT-001,milk carton,recycling,0.68,0.24,0
WST-0075,2026-05-24T08:45:00,Cafeteria Bin 1,EVT-020,foil pouch,landfill,0.642,0.75,0
WST-0076,2026-03-30T17:31:00,Cafeteria Bin 1,EVT-006,apple cores,compost,0.842,0.4,0
WST-0077,2026-05-19T20:18:00,Cafeteria Bin 2,EVT-016,foil pouch,landfill,0.688,0.79,0
WST-0078,2026-03-21T09:40:00,Compost AI Demo Bin,,paper tray,compost,0.865,0.52,0
WST-0079,2026-05-07T04:08:00,Cafeteria Bin 1,EVT-019,unopened granola bar,unopened_food,0.513,0.67,0
WST-0080,2026-03-08T03:10:00,Compost AI Demo Bin,EVT-012,plastic wrapper,landfill,0.69,0.15,0
WST-0081,2026-03-18T08:26:00,Cafeteria Bin 1,EVT-016,plastic wrapper,landfill,0.52,0.45,0
WST-0082,2026-04-17T03:18:00,Cafeteria Bin 1,EVT-031,salad leftovers,compost,0.536,0.81,0
WST-0083,2026-04-17T20:17:00,Cafeteria Bin 1,EVT-033,foil pouch,landfill,0.769,0.11,0
WST-0084,2026-04-04T08:15:00,Compost AI Demo Bin,EVT-016,apple cores,compost,0.756,0.29,1
WST-0085,2026-06-02T05:16:00,Event Cleanup,EVT-021,plastic wrapper,landfill,0.941,0.25,0
WST-0086,2026-04-07T00:58:00,Event Cleanup,EVT-020,foil pouch,landfill,0.957,0.8,0
WST-0087,2026-03-12T22:09:00,Cafeteria Bin 2,EVT-020,paper tray,compost,0.385,0.19,1
WST-0088,2026-04-13T08:48:00,Cafeteria Bin 1,EVT-015,pizza crust,compost,0.807,0.47,1
WST-0089,2026-03-04T21:50:00,Cafeteria Bin 2,,pizza crust,compost,0.794,0.37,0
WST-0090,2026-03-14T08:27:00,Compost AI Demo Bin,EVT-015,paper tray,compost,0.761,0.48,1
WST-0091,2026-03-07T01:07:00,Event Cleanup,EVT-028,plastic wrapper,landfill,0.702,0.29,0
WST-0092,2026-05-26T10:33:00,Event Cleanup,EVT-031,milk carton,recycling,0.867,0.96,1
WST-0093,2026-04-26T22:19:00,Cafeteria Bin 2,EVT-024,paper tray,compost,0.919,0.32,0
WST-0094,2026-05-11T09:03:00,Cafeteria Bin 2,EVT-022,plastic wrapper,landfill,0.74,1.15,0
WST-0095,2026-04-22T03:42:00,Event Cleanup,EVT-019,paper tray,compost,0.481,0.31,0
WST-0096,2026-04-04T04:50:00,Compost AI Demo Bin,EVT-026,unopened granola bar,unopened_food,0.527,0.44,0
WST-0097,2026-04-12T10:44:00,Cafeteria Bin 2,EVT-006,pizza crust,compost,0.913,0.17,0
WST-0098,2026-03-20T13:42:00,Cafeteria Bin 2,EVT-015,salad leftovers,compost,0.826,0.08,0
WST-0099,2026-03-14T09:12:00,Event Cleanup,EVT-008,salad leftovers,compost,0.963,0.66,1
WST-0100,2026-03-18T06:39:00,Event Cleanup,EVT-007,milk carton,recycling,0.98,0.5,0
WST-0101,2026-04-14T17:26:00,Cafeteria Bin 1,EVT-026,salad leftovers,compost,0.82,0.13,0
WST-0102,2026-05-25T21:27:00,Event Cleanup,EVT-015,plastic wrapper,landfill,0.649,0.46,0
WST-0103,2026-03-04T11:28:00,Cafeteria Bin 1,EVT-033,milk carton,recycling,0.704,0.31,0
WST-0104,2026-05-03T22:43:00,Cafeteria Bin 1,EVT-014,salad leftovers,compost,0.913,0.34,1
WST-0105,2026-03-28T12:18:00,Event Cleanup,EVT-012,foil pouch,landfill,0.623,0.29,0
WST-0106,2026-04-05T23:56:00,Compost AI Demo Bin,EVT-033,milk carton,recycling,0.692,0.86,0
WST-0107,2026-05-01T08:38:00,Event Cleanup,EVT-016,foil pouch,landfill,0.99,0.06,0
WST-0108,2026-05-15T08:22:00,Cafeteria Bin 1,EVT-012,paper tray,compost,0.825,0.05,0
WST-0109,2026-03-07T01:39:00,Compost AI Demo Bin,,paper tray,compost,0.99,0.5,0
WST-0110,2026-05-05T04:37:00,Compost AI Demo Bin,EVT-012,paper tray,compost,0.99,0.47,0
WST-0111,2026-06-03T22:55:00,Compost AI Demo Bin,EVT-024,water bottle,recycling,0.896,0.52,0
WST-0112,2026-05-03T15:47:00,Cafeteria Bin 2,EVT-007,salad leftovers,compost,0.851,1.63,0
WST-0113,2026-04-07T22:17:00,Compost AI Demo Bin,,salad leftovers,compost,0.99,0.5,0
WST-0114,2026-03-03T08:40:00,Cafeteria Bin 1,EVT-006,pizza crust,compost,0.796,0.15,0
WST-0115,2026-04-02T12:05:00,Cafeteria Bin 2,EVT-036,milk carton,recycling,0.76,2.32,0
WST-0116,2026-06-05T14:49:00,Cafeteria Bin 1,EVT-014,paper tray,compost,0.864,0.37,1
WST-0117,2026-03-19T21:34:00,Event Cleanup,EVT-006,plastic wrapper,landfill,0.712,0.85,0
WST-0118,2026-03-19T13:33:00,Cafeteria Bin 2,EVT-024,apple cores,compost,0.409,0.1,1
WST-0119,2026-04-07T06:52:00,Cafeteria Bin 1,EVT-019,pizza crust,compost,0.573,0.07,0
WST-0120,2026-03-28T04:29:00,Event Cleanup,EVT-008,paper tray,compost,0.738,0.34,0
WST-0121,2026-06-04T23:13:00,Event Cleanup,EVT-025,plastic wrapper,landfill,0.736,0.82,0
WST-0122,2026-04-03T09:07:00,Cafeteria Bin 2,EVT-006,water bottle,recycling,0.755,1.6,0
WST-0123,2026-03-20T23:24:00,Cafeteria Bin 2,EVT-011,water bottle,recycling,0.96,0.15,0
WST-0124,2026-05-03T20:11:00,Event Cleanup,EVT-014,pizza crust,compost,0.863,0.34,0
WST-0125,2026-04-13T10:27:00,Event Cleanup,EVT-026,paper tray,compost,0.603,0.43,0
WST-0126,2026-06-02T17:18:00,Cafeteria Bin 1,EVT-031,salad leftovers,compost,0.805,0.44,0
WST-0127,2026-06-01T06:35:00,Cafeteria Bin 1,EVT-033,foil pouch,landfill,0.776,0.39,0
WST-0128,2026-05-27T22:29:00,Cafeteria Bin 2,EVT-006,unopened granola bar,unopened_food,0.805,0.42,0
WST-0129,2026-03-17T04:57:00,Event Cleanup,,pizza crust,compost,0.693,1.21,0
WST-0130,2026-03-27T13:27:00,Cafeteria Bin 2,EVT-033,milk carton,recycling,0.355,1.11,1
WST-0131,2026-04-22T09:14:00,Cafeteria Bin 1,EVT-019,paper tray,compost,0.448,0.55,1
WST-0132,2026-03-06T09:29:00,Compost AI Demo Bin,EVT-022,unopened granola bar,unopened_food,0.739,0.09,0
WST-0133,2026-03-21T18:51:00,Compost AI Demo Bin,EVT-025,salad leftovers,compost,0.656,0.31,0
WST-0134,2026-03-16T00:32:00,Event Cleanup,,water bottle,recycling,0.769,0.9,1
WST-0135,2026-03-17T18:09:00,Cafeteria Bin 2,EVT-008,milk carton,recycling,0.983,0.21,0
WST-0136,2026-05-23T09:57:00,Event Cleanup,EVT-014,foil pouch,landfill,0.663,0.26,0
WST-0137,2026-05-07T04:36:00,Compost AI Demo Bin,EVT-011,salad leftovers,compost,0.858,0.31,0
WST-0138,2026-05-01T09:18:00,Cafeteria Bin 2,EVT-020,foil pouch,landfill,0.743,0.76,0
WST-0139,2026-04-10T23:51:00,Event Cleanup,EVT-020,plastic wrapper,landfill,0.851,1.42,0
WST-0140,2026-05-21T15:35:00,Cafeteria Bin 2,EVT-028,plastic wrapper,landfill,0.619,0.7,0
WST-0141,2026-05-06T07:22:00,Compost AI Demo Bin,EVT-014,foil pouch,landfill,0.73,0.06,0
WST-0142,2026-04-14T04:05:00,Cafeteria Bin 1,,milk carton,recycling,0.99,0.26,1
WST-0143,2026-05-02T15:03:00,Cafeteria Bin 2,EVT-037,milk carton,recycling,0.948,1.16,0
WST-0144,2026-03-25T21:26:00,Event Cleanup,EVT-026,unopened granola bar,unopened_food,0.5,0.1,0
WST-0145,2026-05-12T22:44:00,Compost AI Demo Bin,EVT-022,water bottle,recycling,0.99,0.25,0
WST-0146,2026-05-03T02:19:00,Event Cleanup,EVT-024,plastic wrapper,landfill,0.935,0.42,0
WST-0147,2026-04-01T03:48:00,Cafeteria Bin 1,EVT-024,foil pouch,landfill,0.722,0.41,0
WST-0148,2026-05-12T19:05:00,Cafeteria Bin 2,EVT-037,milk carton,recycling,0.99,0.74,1
WST-0149,2026-03-04T22:42:00,Event Cleanup,EVT-008,water bottle,recycling,0.807,0.36,0
WST-0150,2026-05-19T07:09:00,Cafeteria Bin 2,EVT-006,foil pouch,landfill,0.574,0.47,0
WST-0151,2026-03-30T03:35:00,Cafeteria Bin 2,EVT-036,foil pouch,landfill,0.811,0.15,0
WST-0152,2026-03-25T09:23:00,Cafeteria Bin 1,EVT-012,foil pouch,landfill,0.99,0.77,0
WST-0153,2026-06-07T05:27:00,Compost AI Demo Bin,EVT-019,water bottle,recycling,0.821,0.93,0
WST-0154,2026-05-29T00:54:00,Cafeteria Bin 2,EVT-011,salad leftovers,compost,0.619,0.66,0
WST-0155,2026-03-01T20:44:00,Cafeteria Bin 1,EVT-033,water bottle,recycling,0.485,0.1,0
WST-0156,2026-05-11T22:21:00,Compost AI Demo Bin,EVT-037,milk carton,recycling,0.724,0.51,0
WST-0157,2026-03-16T17:49:00,Event Cleanup,EVT-024,milk carton,recycling,0.682,0.09,0
WST-0158,2026-05-22T23:52:00,Event Cleanup,EVT-014,milk carton,recycling,0.99,0.17,0
WST-0159,2026-03-17T08:00:00,Cafeteria Bin 2,EVT-037,paper tray,compost,0.628,2.43,0
WST-0160,2026-05-19T17:36:00,Compost AI Demo Bin,EVT-024,salad leftovers,compost,0.795,0.5,0
WST-0161,2026-04-27T21:11:00,Cafeteria Bin 1,EVT-020,pizza crust,compost,0.688,0.48,0
WST-0162,2026-05-10T17:56:00,Cafeteria Bin 1,EVT-011,milk carton,recycling,0.51,0.93,0
WST-0163,2026-04-06T02:17:00,Compost AI Demo Bin,EVT-022,apple cores,compost,0.774,1.53,0
WST-0164,2026-06-02T09:32:00,Cafeteria Bin 1,EVT-025,apple cores,compost,0.531,0.29,0
WST-0165,2026-05-05T21:20:00,Compost AI Demo Bin,EVT-033,apple cores,compost,0.881,0.92,1
WST-0166,2026-05-02T11:04:00,Event Cleanup,EVT-019,salad leftovers,compost,0.498,1.03,0
WST-0167,2026-03-01T20:03:00,Event Cleanup,EVT-014,water bottle,recycling,0.768,0.71,0
WST-0168,2026-03-06T10:07:00,Compost AI Demo Bin,EVT-031,pizza crust,compost,0.95,0.48,0
WST-0169,2026-04-20T14:04:00,Event Cleanup,EVT-019,plastic wrapper,landfill,0.87,0.99,0
WST-0170,2026-03-23T17:07:00,Compost AI Demo Bin,EVT-022,paper tray,compost,0.707,0.72,0
WST-0171,2026-03-16T09:49:00,Cafeteria Bin 2,EVT-008,pizza crust,compost,0.849,0.52,0
WST-0172,2026-03-29T22:13:00,Event Cleanup,EVT-019,unopened granola bar,unopened_food,0.911,0.48,0
WST-0173,2026-05-27T23:30:00,Event Cleanup,EVT-021,salad leftovers,compost,0.607,0.97,0
WST-0174,2026-04-19T08:54:00,Cafeteria Bin 2,EVT-012,milk carton,recycling,0.961,0.4,0
WST-0175,2026-05-13T09:46:00,Cafeteria Bin 1,EVT-011,plastic wrapper,landfill,0.93,0.26,0
WST-0176,2026-03-05T15:04:00,Compost AI Demo Bin,EVT-014,paper tray,compost,0.555,0.65,0
WST-0177,2026-05-29T12:17:00,Event Cleanup,EVT-006,water bottle,recycling,0.816,0.27,0
WST-0178,2026-05-19T02:34:00,Cafeteria Bin 1,EVT-008,unopened granola bar,unopened_food,0.738,0.48,0
WST-0179,2026-04-25T15:37:00,Cafeteria Bin 2,EVT-011,paper tray,compost,0.99,0.51,0
WST-0180,2026-03-12T17:12:00,Compost AI Demo Bin,EVT-036,unopened granola bar,unopened_food,0.919,0.55,0
WST-0181,2026-05-23T19:45:00,Compost AI Demo Bin,EVT-007,plastic wrapper,landfill,0.793,0.98,0
WST-0182,2026-04-30T01:47:00,Cafeteria Bin 1,EVT-031,salad leftovers,compost,0.976,0.22,0
WST-0183,2026-05-13T07:15:00,Cafeteria Bin 1,EVT-011,unopened granola bar,unopened_food,0.99,0.31,0
WST-0184,2026-04-15T23:04:00,Cafeteria Bin 2,EVT-016,unopened granola bar,unopened_food,0.511,0.05,0
WST-0185,2026-04-26T18:39:00,Cafeteria Bin 1,EVT-016,plastic wrapper,landfill,0.713,0.33,0
WST-0186,2026-03-01T09:59:00,Cafeteria Bin 1,EVT-033,foil pouch,landfill,0.619,0.14,0
WST-0187,2026-04-19T11:45:00,Cafeteria Bin 1,EVT-001,plastic wrapper,landfill,0.774,0.53,0
WST-0188,2026-04-17T13:26:00,Cafeteria Bin 2,EVT-011,foil pouch,landfill,0.609,0.75,0
WST-0189,2026-03-29T22:48:00,Cafeteria Bin 2,EVT-033,milk carton,recycling,0.937,0.35,0
WST-0190,2026-04-13T16:56:00,Cafeteria Bin 1,EVT-028,plastic wrapper,landfill,0.99,0.22,0
WST-0191,2026-05-01T06:18:00,Cafeteria Bin 1,EVT-028,salad leftovers,compost,0.807,0.65,0
WST-0192,2026-03-01T00:55:00,Event Cleanup,EVT-006,plastic wrapper,landfill,0.529,0.46,0
WST-0193,2026-04-14T20:02:00,Cafeteria Bin 1,EVT-024,water bottle,recycling,0.68,0.25,0
WST-0194,2026-03-19T10:24:00,Cafeteria Bin 2,EVT-022,plastic wrapper,landfill,0.701,0.37,0
WST-0195,2026-03-01T19:48:00,Cafeteria Bin 1,EVT-022,paper tray,compost,0.99,0.25,0
WST-0196,2026-05-08T07:15:00,Compost AI Demo Bin,EVT-015,foil pouch,landfill,0.835,0.3,0
WST-0197,2026-03-27T01:03:00,Cafeteria Bin 2,EVT-016,apple cores,compost,0.812,0.07,0
WST-0198,2026-04-01T21:44:00,Compost AI Demo Bin,EVT-022,pizza crust,compost,0.646,0.5,0
WST-0199,2026-03-17T20:04:00,Event Cleanup,EVT-011,plastic wrapper,landfill,0.682,0.3,0
WST-0200,2026-05-26T20:33:00,Compost AI Demo Bin,EVT-006,water bottle,recycling,0.867,0.99,0
WST-0201,2026-03-06T14:32:00,Cafeteria Bin 1,,apple cores,compost,0.752,0.19,0
WST-0202,2026-04-04T12:52:00,Cafeteria Bin 1,EVT-016,foil pouch,landfill,0.921,0.16,0
WST-0203,2026-04-01T15:11:00,Cafeteria Bin 1,EVT-008,plastic wrapper,landfill,0.697,0.52,0
WST-0204,2026-06-02T20:10:00,Cafeteria Bin 1,EVT-019,unopened granola bar,unopened_food,0.25,0.18,1
WST-0205,2026-04-09T09:41:00,Cafeteria Bin 2,EVT-021,foil pouch,landfill,0.702,0.97,0
WST-0206,2026-05-24T21:44:00,Compost AI Demo Bin,EVT-025,water bottle,recycling,0.518,0.63,0
WST-0207,2026-04-28T14:54:00,Cafeteria Bin 2,EVT-037,water bottle,recycling,0.875,1.01,0
WST-0208,2026-05-30T16:43:00,Event Cleanup,,salad leftovers,compost,0.845,0.77,0
WST-0209,2026-04-17T17:07:00,Compost AI Demo Bin,EVT-011,salad leftovers,compost,0.951,1.05,0
WST-0210,2026-04-07T18:24:00,Compost AI Demo Bin,EVT-012,pizza crust,compost,0.676,0.64,0
WST-0211,2026-05-02T17:16:00,Event Cleanup,EVT-025,pizza crust,compost,0.753,0.49,0
WST-0212,2026-06-01T20:37:00,Compost AI Demo Bin,EVT-031,pizza crust,compost,0.67,0.65,0
WST-0213,2026-04-03T23:25:00,Cafeteria Bin 2,EVT-037,paper tray,compost,0.785,1.13,0
WST-0214,2026-05-31T07:28:00,Cafeteria Bin 2,EVT-035,milk carton,recycling,0.911,0.09,0
WST-0215,2026-03-04T00:29:00,Compost AI Demo Bin,EVT-026,salad leftovers,compost,0.899,1.29,0
WST-0216,2026-03-18T22:35:00,Cafeteria Bin 1,EVT-012,pizza crust,compost,0.814,0.53,0
WST-0217,2026-05-05T08:49:00,Event Cleanup,EVT-011,unopened granola bar,unopened_food,0.99,1.08,0
WST-0218,2026-05-01T02:25:00,Event Cleanup,EVT-019,foil pouch,landfill,0.549,0.28,0
WST-0219,2026-03-15T15:51:00,Compost AI Demo Bin,EVT-021,unopened granola bar,unopened_food,0.811,0.31,0
WST-0220,2026-04-23T18:42:00,Cafeteria Bin 2,EVT-014,apple cores,compost,0.808,1.07,0
WST-0221,2026-04-21T23:24:00,Event Cleanup,EVT-024,pizza crust,compost,0.536,0.59,0
WST-0222,2026-05-23T13:40:00,Compost AI Demo Bin,EVT-019,foil pouch,landfill,0.696,1.35,0
WST-0223,2026-06-05T13:38:00,Event Cleanup,EVT-033,foil pouch,landfill,0.769,0.29,0
WST-0224,2026-04-02T16:24:00,Compost AI Demo Bin,EVT-008,paper tray,compost,0.583,0.37,0
WST-0225,2026-03-02T17:04:00,Event Cleanup,EVT-015,water bottle,recycling,0.617,0.76,0
WST-0226,2026-04-09T11:14:00,Event Cleanup,EVT-031,milk carton,recycling,0.959,1.15,0
WST-0227,2026-03-08T09:48:00,Compost AI Demo Bin,EVT-001,pizza crust,compost,0.884,0.39,0
WST-0228,2026-05-04T16:38:00,Cafeteria Bin 2,EVT-006,milk carton,recycling,0.584,1.43,0
WST-0229,2026-04-05T04:50:00,Cafeteria Bin 2,,salad leftovers,compost,0.773,0.53,0
WST-0230,2026-05-29T18:54:00,Event Cleanup,EVT-026,paper tray,compost,0.666,0.22,1
WST-0231,2026-05-17T05:48:00,Compost AI Demo Bin,EVT-019,apple cores,compost,0.58,1.25,0
WST-0232,2026-05-22T17:57:00,Compost AI Demo Bin,EVT-019,plastic wrapper,landfill,0.861,0.42,0
WST-0233,2026-03-05T02:06:00,Compost AI Demo Bin,EVT-033,unopened granola bar,unopened_food,0.835,0.63,0
WST-0234,2026-04-25T06:54:00,Cafeteria Bin 1,EVT-025,milk carton,recycling,0.854,0.71,0
WST-0235,2026-03-12T08:46:00,Cafeteria Bin 2,EVT-008,milk carton,recycling,0.811,0.76,0
WST-0236,2026-03-12T18:34:00,Cafeteria Bin 2,EVT-014,plastic wrapper,landfill,0.615,0.41,0
WST-0237,2026-03-31T00:40:00,Cafeteria Bin 1,EVT-035,plastic wrapper,landfill,0.672,1.55,0
WST-0238,2026-05-05T08:58:00,Cafeteria Bin 1,EVT-021,pizza crust,compost,0.661,0.43,0
WST-0239,2026-05-08T11:02:00,Event Cleanup,EVT-001,salad leftovers,compost,0.915,0.23,0
WST-0240,2026-04-10T12:40:00,Cafeteria Bin 2,EVT-026,foil pouch,landfill,0.736,0.42,0
WST-0241,2026-04-15T05:14:00,Compost AI Demo Bin,EVT-035,unopened granola bar,unopened_food,0.708,0.95,0
WST-0242,2026-03-25T14:03:00,Compost AI Demo Bin,EVT-016,salad leftovers,compost,0.605,0.16,1
WST-0243,2026-05-06T07:12:00,Event Cleanup,EVT-037,salad leftovers,compost,0.772,2.16,0
WST-0244,2026-05-13T18:38:00,Cafeteria Bin 2,EVT-015,foil pouch,landfill,0.776,0.35,0
WST-0245,2026-03-12T22:24:00,Cafeteria Bin 2,EVT-022,water bottle,recycling,0.784,0.17,0
WST-0246,2026-04-24T21:04:00,Compost AI Demo Bin,EVT-025,salad leftovers,compost,0.786,0.15,0
WST-0247,2026-05-09T19:37:00,Event Cleanup,EVT-026,plastic wrapper,landfill,0.735,0.93,0
WST-0248,2026-04-02T02:19:00,Compost AI Demo Bin,EVT-015,water bottle,recycling,0.88,1.22,0
WST-0249,2026-04-11T23:17:00,Compost AI Demo Bin,EVT-008,water bottle,recycling,0.928,1.56,0
